EdgeIndex,PointIndex1,PointIndex2,PointLatitude1,PointLatitude2,PointLongitude1,PointLongitude2
1,1,2,40.719444,40.71929,-74.010239,-74.008699
2,2,3,40.71929,40.719118,-74.008699,-74.006935
3,4,5,40.718801,40.71869,-74.010351,-74.00933
4,5,6,40.71869,40.71864,-74.00933,-74.008819
5,7,8,40.715747,40.71618,-74.001691,-74.002558
6,8,9,40.71618,40.71651,-74.002558,-74.003304
7,9,10,40.71651,40.71687,-74.003304,-74.004026
8,10,11,40.71687,40.717683,-74.004026,-74.005792
9,11,12,40.717683,40.71826,-74.005792,-74.007052
10,12,13,40.71826,40.71902,-74.007052,-74.008747
11,14,15,40.714118,40.714043,-74.003417,-74.003245
12,15,16,40.714043,40.713971,-74.003245,-74.003056
13,16,15,40.713971,40.714043,-74.003056,-74.003245
14,15,14,40.714043,40.714118,-74.003245,-74.003417
15,17,18,40.8509,40.85117,-73.938284,-73.939236
16,18,19,40.85117,40.851239,-73.939236,-73.939446
17,19,20,40.851239,40.851294,-73.939446,-73.939653
18,20,21,40.851294,40.851331,-73.939653,-73.93994
19,21,22,40.851331,40.851341,-73.93994,-73.940225
20,22,21,40.851341,40.851331,-73.940225,-73.93994
21,21,20,40.851331,40.851294,-73.93994,-73.939653
22,20,19,40.851294,40.851239,-73.939653,-73.939446
23,19,18,40.851239,40.85117,-73.939446,-73.939236
24,18,17,40.85117,40.8509,-73.939236,-73.938284
25,23,24,40.86955,40.86977,-73.915183,-73.91571
26,24,25,40.86977,40.869864,-73.91571,-73.915849
27,25,24,40.869864,40.86977,-73.915849,-73.91571
28,24,23,40.86977,40.86955,-73.91571,-73.915183
29,26,27,40.80642,40.807067,-73.944365,-73.945905
30,28,29,40.78365,40.783884,-73.943498,-73.944035
31,29,30,40.783884,40.783948,-73.944035,-73.944217
32,31,32,40.795362,40.795931,-73.971411,-73.972715
33,33,34,40.77954,40.7795,-73.959774,-73.959677
34,34,35,40.7795,40.778907,-73.959677,-73.958268
35,35,36,40.778907,40.778803,-73.958268,-73.958023
36,36,37,40.778803,40.778181,-73.958023,-73.956545
37,37,38,40.778181,40.777505,-73.956545,-73.954942
38,38,39,40.777505,40.776562,-73.954942,-73.952704
39,39,40,40.776562,40.775565,-73.952704,-73.950338
40,41,42,40.780978,40.781058,-73.981226,-73.981426
41,42,43,40.781058,40.781767,-73.981426,-73.983072
42,43,44,40.781767,40.782485,-73.983072,-73.984785
43,45,41,40.78056,40.780978,-73.98021,-73.981226
44,46,47,40.78349,40.783352,-73.97504,-73.97471
45,47,48,40.783352,40.783319,-73.97471,-73.974648
46,48,49,40.783319,40.783242,-73.974648,-73.974542
47,50,51,40.78691,40.786292,-73.981229,-73.979762
48,51,52,40.786292,40.785819,-73.979762,-73.978649
49,53,54,40.77241,40.77247,-73.978728,-73.97886
50,54,55,40.77247,40.773545,-73.97886,-73.981437
51,55,56,40.773545,40.773601,-73.981437,-73.981572
52,56,57,40.773601,40.773657,-73.981572,-73.981705
53,57,58,40.773657,40.77378,-73.981705,-73.982
54,58,59,40.77378,40.773832,-73.982,-73.982122
55,59,60,40.773832,40.773921,-73.982122,-73.982324
56,61,62,40.763047,40.763098,-73.956537,-73.956658
57,62,63,40.763098,40.7639,-73.956658,-73.958781
58,64,65,40.775383,40.774966,-73.987735,-73.986763
59,65,66,40.774966,40.774158,-73.986763,-73.984881
60,67,68,40.76336,40.762473,-73.95924,-73.957117
61,68,69,40.762473,40.762422,-73.957117,-73.956995
62,70,71,40.757827,40.75837,-73.993071,-73.994394
63,72,73,40.762872,40.763488,-73.967709,-73.969216
64,73,74,40.763488,40.763582,-73.969216,-73.969438
65,74,75,40.763582,40.763673,-73.969438,-73.969658
66,75,76,40.763673,40.764219,-73.969658,-73.970954
67,77,78,40.745961,40.74579,-73.974689,-73.974306
68,78,79,40.74579,40.74572,-73.974306,-73.974117
69,80,81,40.746067,40.746014,-73.974927,-73.974808
70,81,77,40.746014,40.745961,-73.974808,-73.974689
71,82,83,40.746808,40.74592,-73.98848,-73.986393
72,84,85,40.743822,40.743887,-73.979497,-73.979651
73,85,86,40.743887,40.744199,-73.979651,-73.980396
74,86,87,40.744199,40.744498,-73.980396,-73.981109
75,87,88,40.744498,40.745155,-73.981109,-73.982675
76,89,90,40.739494,40.738835,-73.986793,-73.985236
77,90,91,40.738835,40.738217,-73.985236,-73.983778
78,91,92,40.738217,40.738157,-73.983778,-73.983638
79,92,93,40.738157,40.738101,-73.983638,-73.983506
80,93,94,40.738101,40.737264,-73.983506,-73.981531
81,94,95,40.737264,40.737209,-73.981531,-73.981401
82,95,96,40.737209,40.737173,-73.981401,-73.981316
83,96,97,40.737173,40.737159,-73.981316,-73.981282
84,97,98,40.737159,40.736263,-73.981282,-73.979168
85,98,99,40.736263,40.736249,-73.979168,-73.979136
86,99,100,40.736249,40.736189,-73.979136,-73.978995
87,101,102,40.74379,40.743754,-73.989011,-73.988913
88,102,103,40.743754,40.743499,-73.988913,-73.98831
89,103,104,40.743499,40.74345,-73.98831,-73.988194
90,105,106,40.741641,40.74168,-74.004821,-74.004919
91,106,107,40.74168,40.74283,-74.004919,-74.007705
92,108,109,40.709831,40.710131,-73.991777,-73.989785
93,109,110,40.710131,40.71017,-73.989785,-73.989391
94,110,111,40.71017,40.7103,-73.989391,-73.988314
95,111,112,40.7103,40.71032,-73.988314,-73.988111
96,112,113,40.71032,40.71033,-73.988111,-73.987976
97,113,114,40.71033,40.710408,-73.987976,-73.987353
98,114,115,40.710408,40.710493,-73.987353,-73.986586
99,115,116,40.710493,40.71058,-73.986586,-73.985889
100,116,117,40.71058,40.710675,-73.985889,-73.98512
101,117,116,40.710675,40.71058,-73.98512,-73.985889
102,116,115,40.71058,40.710493,-73.985889,-73.986586
103,115,114,40.710493,40.710408,-73.986586,-73.987353
104,114,113,40.710408,40.71033,-73.987353,-73.987976
105,113,112,40.71033,40.71032,-73.987976,-73.988111
106,112,111,40.71032,40.7103,-73.988111,-73.988314
107,111,110,40.7103,40.71017,-73.988314,-73.989391
108,110,109,40.71017,40.710131,-73.989391,-73.989785
109,109,108,40.710131,40.709831,-73.989785,-73.991777
110,118,119,40.8677,40.867093,-73.921217,-73.920827
111,119,118,40.867093,40.8677,-73.920827,-73.921217
112,120,121,40.848685,40.848764,-73.93919,-73.939156
113,121,120,40.848764,40.848685,-73.939156,-73.93919
114,120,122,40.848685,40.84783,-73.93919,-73.939524
115,122,120,40.84783,40.848685,-73.939524,-73.93919
116,123,124,40.71438,40.714385,-73.992584,-73.992634
117,124,125,40.714385,40.714381,-73.992634,-73.992696
118,125,126,40.714381,40.714377,-73.992696,-73.992753
119,126,127,40.714377,40.714372,-73.992753,-73.99282
120,128,129,40.714281,40.714227,-73.994137,-73.99412
121,129,130,40.714227,40.714168,-73.99412,-73.994099
122,130,131,40.714168,40.713899,-73.994099,-73.993979
123,131,132,40.713899,40.7138,-73.993979,-73.99396
124,132,133,40.7138,40.713793,-73.99396,-73.99395
125,133,134,40.713793,40.713747,-73.99395,-73.993945
126,135,136,40.782037,40.782147,-73.971734,-73.971649
127,136,137,40.782147,40.782717,-73.971649,-73.971257
128,137,136,40.782717,40.782147,-73.971257,-73.971649
129,136,135,40.782147,40.782037,-73.971649,-73.971734
130,138,139,40.78461,40.785303,-73.969859,-73.969349
131,139,140,40.785303,40.78547,-73.969349,-73.969227
132,140,141,40.78547,40.785974,-73.969227,-73.968861
133,141,142,40.785974,40.786601,-73.968861,-73.968398
134,142,143,40.786601,40.787228,-73.968398,-73.967945
135,143,144,40.787228,40.787871,-73.967945,-73.967476
136,144,145,40.787871,40.788185,-73.967476,-73.967245
137,145,146,40.788185,40.788478,-73.967245,-73.967029
138,146,147,40.788478,40.789109,-73.967029,-73.966579
139,147,148,40.789109,40.789509,-73.966579,-73.966279
140,148,149,40.789509,40.78962,-73.966279,-73.966195
141,149,150,40.78962,40.78973,-73.966195,-73.966108
142,150,151,40.78973,40.79036,-73.966108,-73.965664
143,151,152,40.79036,40.79099,-73.965664,-73.965208
144,152,153,40.79099,40.791595,-73.965208,-73.964765
145,153,154,40.791595,40.791674,-73.964765,-73.964707
146,154,153,40.791674,40.791595,-73.964707,-73.964765
147,153,152,40.791595,40.79099,-73.964765,-73.965208
148,152,151,40.79099,40.79036,-73.965208,-73.965664
149,151,150,40.79036,40.78973,-73.965664,-73.966108
150,150,149,40.78973,40.78962,-73.966108,-73.966195
151,149,148,40.78962,40.789509,-73.966195,-73.966279
152,148,147,40.789509,40.789109,-73.966279,-73.966579
153,147,146,40.789109,40.788478,-73.966579,-73.967029
154,146,145,40.788478,40.788185,-73.967029,-73.967245
155,145,144,40.788185,40.787871,-73.967245,-73.967476
156,144,143,40.787871,40.787228,-73.967476,-73.967945
157,143,142,40.787228,40.786601,-73.967945,-73.968398
158,142,141,40.786601,40.785974,-73.968398,-73.968861
159,141,140,40.785974,40.78547,-73.968861,-73.969227
160,140,139,40.78547,40.785303,-73.969227,-73.969349
161,139,138,40.785303,40.78461,-73.969349,-73.969859
162,155,156,40.779105,40.780056,-73.944813,-73.947055
163,157,158,40.72106,40.72142,-73.998196,-73.999031
164,158,159,40.72142,40.721711,-73.999031,-73.999714
165,159,160,40.721711,40.72179,-73.999714,-73.999853
166,160,161,40.72179,40.72218,-73.999853,-74.000657
167,161,162,40.72218,40.72255,-74.000657,-74.001403
168,162,163,40.72255,40.7229,-74.001403,-74.002174
169,163,164,40.7229,40.7233,-74.002174,-74.002982
170,165,166,40.71792,40.717842,-73.993095,-73.993136
171,166,167,40.717842,40.71674,-73.993136,-73.9937
172,168,169,40.714855,40.714809,-73.982989,-73.98301
173,169,170,40.714809,40.714726,-73.98301,-73.983053
174,170,171,40.714726,40.714689,-73.983053,-73.983074
175,171,172,40.714689,40.71467,-73.983074,-73.983095
176,172,173,40.71467,40.714661,-73.983095,-73.983122
177,173,174,40.714661,40.71463,-73.983122,-73.983233
178,175,176,40.71355,40.712211,-73.980853,-73.980717
179,176,175,40.712211,40.71355,-73.980717,-73.980853
180,177,178,40.713198,40.713913,-73.983885,-73.984
181,178,177,40.713913,40.713198,-73.984,-73.983885
182,179,180,40.71153,40.71,-73.98062,-73.980556
183,181,182,40.714188,40.71422,-73.98145,-73.981094
184,182,183,40.71422,40.71425,-73.981094,-73.980893
185,181,184,40.714188,40.714413,-73.98145,-73.981474
186,184,181,40.714413,40.714188,-73.981474,-73.98145
187,185,186,40.71645,40.716568,-73.980574,-73.980514
188,186,187,40.716568,40.71754,-73.980514,-73.980002
189,187,188,40.71754,40.717811,-73.980002,-73.979861
190,188,189,40.717811,40.718622,-73.979861,-73.979435
191,189,190,40.718622,40.718665,-73.979435,-73.979413
192,190,191,40.718665,40.719768,-73.979413,-73.978857
193,191,192,40.719768,40.7198,-73.978857,-73.978839
194,192,193,40.7198,40.719886,-73.978839,-73.978798
195,193,192,40.719886,40.7198,-73.978798,-73.978839
196,192,191,40.7198,40.719768,-73.978839,-73.978857
197,191,190,40.719768,40.718665,-73.978857,-73.979413
198,190,189,40.718665,40.718622,-73.979413,-73.979435
199,189,188,40.718622,40.717811,-73.979435,-73.979861
200,188,187,40.717811,40.71754,-73.979861,-73.980002
201,187,186,40.71754,40.716568,-73.980002,-73.980514
202,186,185,40.716568,40.71645,-73.980514,-73.980574
203,194,195,40.717934,40.717843,-73.986636,-73.986684
204,195,196,40.717843,40.71715,-73.986684,-73.98704
205,196,197,40.71715,40.716202,-73.98704,-73.987531
206,198,199,40.715437,40.715869,-73.979204,-73.978972
207,199,200,40.715869,40.71595,-73.978972,-73.978925
208,201,202,40.7262,40.726421,-74.00373,-74.00552
209,202,203,40.726421,40.72643,-74.00552,-74.005658
210,203,204,40.72643,40.72644,-74.005658,-74.005808
211,204,205,40.72644,40.7266,-74.005808,-74.007423
212,206,207,40.72819,40.728,-74.008724,-74.007203
213,207,208,40.728,40.72788,-74.007203,-74.005427
214,208,209,40.72788,40.727677,-74.005427,-74.003303
215,209,210,40.727677,40.72766,-74.003303,-74.003155
216,211,212,40.719462,40.719253,-73.98192,-73.981227
217,212,213,40.719253,40.718753,-73.981227,-73.97957
218,213,212,40.718753,40.719253,-73.97957,-73.981227
219,212,211,40.719253,40.719462,-73.981227,-73.98192
220,214,215,40.72608,40.726002,-74.009901,-74.009092
221,215,216,40.726002,40.72593,-74.009092,-74.008346
222,216,217,40.72593,40.725853,-74.008346,-74.007555
223,217,218,40.725853,40.72577,-74.007555,-74.006743
224,218,219,40.72577,40.725696,-74.006743,-74.005918
225,219,220,40.725696,40.72569,-74.005918,-74.005854
226,221,222,40.724913,40.724855,-74.004646,-74.004656
227,222,223,40.724855,40.724359,-74.004656,-74.004726
228,223,224,40.724359,40.72426,-74.004726,-74.004739
229,225,226,40.71811,40.717882,-73.976879,-73.976071
230,226,227,40.717882,40.7178,-73.976071,-73.976027
231,228,229,40.714489,40.715169,-73.974901,-73.977132
232,229,230,40.715169,40.715528,-73.977132,-73.978282
233,230,231,40.715528,40.7157,-73.978282,-73.978795
234,232,233,40.718027,40.71776,-73.986589,-73.985849
235,234,235,40.71762,40.717529,-73.985833,-73.985532
236,235,236,40.717529,40.717142,-73.985532,-73.984257
237,237,238,40.756494,40.756503,-73.953333,-73.953356
238,238,239,40.756503,40.757978,-73.953356,-73.956731
239,239,240,40.757978,40.759597,-73.956731,-73.960538
240,240,241,40.759597,40.759771,-73.960538,-73.96082
241,241,242,40.759771,40.760187,-73.96082,-73.961767
242,242,241,40.760187,40.759771,-73.961767,-73.96082
243,241,240,40.759771,40.759597,-73.96082,-73.960538
244,240,239,40.759597,40.757978,-73.960538,-73.956731
245,239,238,40.757978,40.756503,-73.956731,-73.953356
246,238,237,40.756503,40.756494,-73.953356,-73.953333
247,243,244,40.762079,40.762721,-73.961989,-73.96157
248,245,246,40.759636,40.759693,-73.963997,-73.963957
249,246,247,40.759693,40.759768,-73.963957,-73.963904
250,247,248,40.759768,40.760012,-73.963904,-73.963761
251,248,249,40.760012,40.760125,-73.963761,-73.963681
252,242,250,40.760187,40.760584,-73.961767,-73.962703
253,250,251,40.760584,40.760615,-73.962703,-73.962769
254,251,252,40.760615,40.760636,-73.962769,-73.962808
255,252,253,40.760636,40.760652,-73.962808,-73.962833
256,253,254,40.760652,40.760669,-73.962833,-73.962852
257,254,255,40.760669,40.760698,-73.962852,-73.962864
258,255,256,40.760698,40.760718,-73.962864,-73.962854
259,256,257,40.760718,40.760727,-73.962854,-73.962834
260,257,258,40.760727,40.760725,-73.962834,-73.962807
261,258,259,40.760725,40.760709,-73.962807,-73.962759
262,259,260,40.760709,40.760652,-73.962759,-73.962605
