Index,Latitude,Longitude
1,40.719444,-74.010239
2,40.71929,-74.008699
3,40.719118,-74.006935
4,40.718801,-74.010351
5,40.71869,-74.00933
6,40.71864,-74.008819
7,40.715747,-74.001691
8,40.71618,-74.002558
9,40.71651,-74.003304
10,40.71687,-74.004026
11,40.717683,-74.005792
12,40.71826,-74.007052
13,40.71902,-74.008747
14,40.714118,-74.003417
15,40.714043,-74.003245
16,40.713971,-74.003056
17,40.8509,-73.938284
18,40.85117,-73.939236
19,40.851239,-73.939446
20,40.851294,-73.939653
21,40.851331,-73.93994
22,40.851341,-73.940225
23,40.86955,-73.915183
24,40.86977,-73.91571
25,40.869864,-73.915849
26,40.80642,-73.944365
27,40.807067,-73.945905
28,40.78365,-73.943498
29,40.783884,-73.944035
30,40.783948,-73.944217
31,40.795362,-73.971411
32,40.795931,-73.972715
33,40.77954,-73.959774
34,40.7795,-73.959677
35,40.778907,-73.958268
36,40.778803,-73.958023
37,40.778181,-73.956545
38,40.777505,-73.954942
39,40.776562,-73.952704
40,40.775565,-73.950338
41,40.780978,-73.981226
42,40.781058,-73.981426
43,40.781767,-73.983072
44,40.782485,-73.984785
45,40.78056,-73.98021
46,40.78349,-73.97504
47,40.783352,-73.97471
48,40.783319,-73.974648
49,40.783242,-73.974542
50,40.78691,-73.981229
51,40.786292,-73.979762
52,40.785819,-73.978649
53,40.77241,-73.978728
54,40.77247,-73.97886
55,40.773545,-73.981437
56,40.773601,-73.981572
57,40.773657,-73.981705
58,40.77378,-73.982
59,40.773832,-73.982122
60,40.773921,-73.982324
61,40.763047,-73.956537
62,40.763098,-73.956658
63,40.7639,-73.958781
64,40.775383,-73.987735
65,40.774966,-73.986763
66,40.774158,-73.984881
67,40.76336,-73.95924
68,40.762473,-73.957117
69,40.762422,-73.956995
70,40.757827,-73.993071
71,40.75837,-73.994394
72,40.762872,-73.967709
73,40.763488,-73.969216
74,40.763582,-73.969438
75,40.763673,-73.969658
76,40.764219,-73.970954
77,40.745961,-73.974689
78,40.74579,-73.974306
79,40.74572,-73.974117
80,40.746067,-73.974927
81,40.746014,-73.974808
82,40.746808,-73.98848
83,40.74592,-73.986393
84,40.743822,-73.979497
85,40.743887,-73.979651
86,40.744199,-73.980396
87,40.744498,-73.981109
88,40.745155,-73.982675
89,40.739494,-73.986793
90,40.738835,-73.985236
91,40.738217,-73.983778
92,40.738157,-73.983638
93,40.738101,-73.983506
94,40.737264,-73.981531
95,40.737209,-73.981401
96,40.737173,-73.981316
97,40.737159,-73.981282
98,40.736263,-73.979168
99,40.736249,-73.979136
100,40.736189,-73.978995
101,40.74379,-73.989011
102,40.743754,-73.988913
103,40.743499,-73.98831
104,40.74345,-73.988194
105,40.741641,-74.004821
106,40.74168,-74.004919
107,40.74283,-74.007705
108,40.709831,-73.991777
109,40.710131,-73.989785
110,40.71017,-73.989391
111,40.7103,-73.988314
112,40.71032,-73.988111
113,40.71033,-73.987976
114,40.710408,-73.987353
115,40.710493,-73.986586
116,40.71058,-73.985889
117,40.710675,-73.98512
118,40.8677,-73.921217
119,40.867093,-73.920827
120,40.848685,-73.93919
121,40.848764,-73.939156
122,40.84783,-73.939524
123,40.71438,-73.992584
124,40.714385,-73.992634
125,40.714381,-73.992696
126,40.714377,-73.992753
127,40.714372,-73.99282
128,40.714281,-73.994137
129,40.714227,-73.99412
130,40.714168,-73.994099
131,40.713899,-73.993979
132,40.7138,-73.99396
133,40.713793,-73.99395
134,40.713747,-73.993945
135,40.782037,-73.971734
136,40.782147,-73.971649
137,40.782717,-73.971257
138,40.78461,-73.969859
139,40.785303,-73.969349
140,40.78547,-73.969227
141,40.785974,-73.968861
142,40.786601,-73.968398
143,40.787228,-73.967945
144,40.787871,-73.967476
145,40.788185,-73.967245
146,40.788478,-73.967029
147,40.789109,-73.966579
148,40.789509,-73.966279
149,40.78962,-73.966195
150,40.78973,-73.966108
151,40.79036,-73.965664
152,40.79099,-73.965208
153,40.791595,-73.964765
154,40.791674,-73.964707
155,40.779105,-73.944813
156,40.780056,-73.947055
157,40.72106,-73.998196
158,40.72142,-73.999031
159,40.721711,-73.999714
160,40.72179,-73.999853
161,40.72218,-74.000657
162,40.72255,-74.001403
163,40.7229,-74.002174
164,40.7233,-74.002982
165,40.71792,-73.993095
166,40.717842,-73.993136
167,40.71674,-73.9937
168,40.714855,-73.982989
169,40.714809,-73.98301
170,40.714726,-73.983053
171,40.714689,-73.983074
172,40.71467,-73.983095
173,40.714661,-73.983122
174,40.71463,-73.983233
175,40.71355,-73.980853
176,40.712211,-73.980717
177,40.713198,-73.983885
178,40.713913,-73.984
179,40.71153,-73.98062
180,40.71,-73.980556
181,40.714188,-73.98145
182,40.71422,-73.981094
183,40.71425,-73.980893
184,40.714413,-73.981474
185,40.71645,-73.980574
186,40.716568,-73.980514
187,40.71754,-73.980002
188,40.717811,-73.979861
189,40.718622,-73.979435
190,40.718665,-73.979413
191,40.719768,-73.978857
192,40.7198,-73.978839
193,40.719886,-73.978798
194,40.717934,-73.986636
195,40.717843,-73.986684
196,40.71715,-73.98704
197,40.716202,-73.987531
198,40.715437,-73.979204
199,40.715869,-73.978972
200,40.71595,-73.978925
201,40.7262,-74.00373
202,40.726421,-74.00552
203,40.72643,-74.005658
204,40.72644,-74.005808
205,40.7266,-74.007423
206,40.72819,-74.008724
207,40.728,-74.007203
208,40.72788,-74.005427
209,40.727677,-74.003303
210,40.72766,-74.003155
211,40.719462,-73.98192
212,40.719253,-73.981227
213,40.718753,-73.97957
214,40.72608,-74.009901
215,40.726002,-74.009092
216,40.72593,-74.008346
217,40.725853,-74.007555
218,40.72577,-74.006743
219,40.725696,-74.005918
220,40.72569,-74.005854
221,40.724913,-74.004646
