Accumulated Trip Utilities Sum (Efficiency),Accumulated Trip Utilities Stdev,Accumulated Trip Utilities Minimum (Fairness)
round,:,1
124605.6207,474.8417948,50.07550864
124529.3029,473.8626074,52.22878974
124420.967,472.0819804,52.61817994
124363.1509,470.5261139,53.61832871
124241.1662,466.5707799,54.36507434
124157.2348,465.3685147,59.67181674
124035.2966,464.740681,65.77175944
123942.9085,460.4909206,70.62144136
123827.928,458.0190195,74.2059378
123755.9519,452.7832363,74.69163252
123635.8927,453.3808551,75.50092534
123570.5084,449.8643775,75.7468977
123534.6947,448.0280136,75.86604498
123464.0394,446.2597993,75.98889709
123366.2376,443.9549396,78.62883697
123330.2383,441.1218542,78.78581041
123178.9716,439.877926,79.12942197
123101.5288,435.141892,79.30488842
122982.901,433.3999488,83.47675181
122884.6393,432.0486668,88.57954698
122795.4902,429.7471166,95.00291096
122713.9328,428.6214717,97.00170452
122601.417,428.222638,98.03903784
122475.9383,426.3611512,206.111064
122421.3378,426.3931542,215.4843568
122380.4149,421.4343828,229.133851
122347.778,422.8848087,229.6342413
122304.313,422.2154385,249.2963919
122130.6307,420.8517019,272.304555
122045.0147,421.1203656,274.1113282
121957.5825,421.2717826,275.3924605
121946.5991,417.3951278,290.4759107
121874.8186,418.5708466,291.7213419
121708.4243,418.9541196,294.9141357
121589.3884,416.8634641,295.2316524
121397.285,417.90679,296.2493268
121081.7382,413.5673541,299.5073138
121048.5578,411.2508194,301.1880828
120972.1691,410.8908467,304.3967819
120783.467,414.8949746,305.7870766
120449.0985,413.4218786,309.3603107
120248.6491,414.5170424,309.6238108
119706.6583,414.8464233,309.7389211
119489.9304,413.0258694,314.0656846
118937.0865,413.3371514,314.2805189
118685.3923,414.382524,316.151433
117977.228,414.8719056,316.2304265
117492.6232,416.1586496,322.1576845
117492.6232,416.0186423,323.4282953
116619.9486,413.2150313,327.8853597
116563.3589,413.3841816,327.8947389
116235.9268,412.6994017,329.1298338
116225.499,411.534448,329.699444
